day_no,calendar_dates,remarks
1,2020-12-01,
2,2020-12-02,
3,2020-12-03,
4,2020-12-04,
5,2020-12-05,
6,2020-12-07,
7,2020-12-08,
8,2020-12-09,
9,2020-12-10,
10,2020-12-11,
11,2020-12-12,
12,2020-12-14,
13,2020-12-15,
14,2020-12-16,
15,2020-12-17,
16,2020-12-18,
17,2020-12-19,
18,2020-12-21,
19,2020-12-22,
20,2020-12-23,
21,2021-01-04,
22,2021-01-05,
23,2021-01-06,
24,2021-01-07,
25,2021-01-08,
26,2021-01-09,
27,2021-01-11,
28,2021-01-12,
29,2021-01-13,
30,2021-01-14,
31,2021-01-15,
32,2021-01-16,
33,2021-01-18,
34,2021-01-19,
35,2021-01-20,
36,2021-01-21,
37,2021-01-22,
38,2021-01-23,
39,2021-01-25,
40,2021-01-26,
41,2021-01-27,
42,2021-01-28,
43,2021-01-29,
44,2021-01-30,
45,2021-02-01,
46,2021-02-02,
47,2021-02-03,
48,2021-02-04,
49,2021-02-05,
50,2021-02-06,
51,2021-02-08,
52,2021-02-09,
53,2021-02-10,
54,2021-02-11,
55,2021-02-12,
56,2021-02-13,
57,2021-02-15,
58,2021-02-16,
59,2021-02-17,
60,2021-02-18,
61,2021-02-19,
62,2021-02-20,
